PreyClass,PreyOrder,PreyFamily,PreySP,habitat_combi,vert_habitat,horz_habitat,diel_migrant,refuge,phys_defense,TrophicLevel,body_shape,max_fo
Actinopterygii,Perciformes,Carangidae,Trachurus japonicus,coastal epipelagic,epipelagic,coastal,1,0,1,3.4,fusiform ,5.6
Actinopterygii,Perciformes,Carangidae,Trachurus symmetricus,coastal epipelagic,epipelagic,coastal,1,0,1,3.57,fusiform ,40.7
Actinopterygii,Perciformes,Carangidae,Trachurus trachurus,coastal epipelagic,epipelagic,coastal,1,0,1,3.71,fusiform ,43
Actinopterygii,Perciformes,Centrolophidae,Centrolophus niger,mesopelagic,mesopelagic,oceanic,UN,0,1,3.92,fusiform ,1.85
Actinopterygii,Perciformes,Centrolophidae,Icichthys lockingtoni,oceanic epipelagic,epipelagic,oceanic,1,0,1,3.71,compressiform,1
Actinopterygii,Perciformes,Chiasmodontidae,Chiasmodon niger,mesopelagic,mesopelagic,oceanic,UN,0,1,4.2,elongated,0.3
Actinopterygii,Perciformes,Coryphaenidae,Coryphaena hippurus,oceanic epipelagic,epipelagic,oceanic,0,0,0,4.37,elongated,0.3
Actinopterygii,Perciformes,Embiotocidae,Cymatogaster aggregata,continental demersal,demersal,coastal,0,1,1,2.99,compressiform,0.5
Actinopterygii,Perciformes,Gempylidae,Diplospinus multistriatus,benthopelagic,benthopelagic,continental shelf,1,0,1,3.51,elongated,8
Actinopterygii,Perciformes,Gempylidae,Gempylus serpens,mesopelagic,mesopelagic,oceanic,1,0,1,4.35,elongated,5.2
Actinopterygii,Perciformes,Gempylidae,Nealotus tripes,mesopelagic,mesopelagic,oceanic,1,0,1,4.2,elongated,3
Actinopterygii,Perciformes,Gempylidae,Nesiarchus nasutus,mesopelagic,mesopelagic,continental shelf,1,0,1,4.33,elongated,3
Actinopterygii,Perciformes,Gobiidae,Rhinogobiops nicholsii,continental demersal,demersal,continental shelf,0,1,1,3.369999886,fusiform ,0
Actinopterygii,Perciformes,Kyphosidae,Medialuna californiensis,reef-associated,demersal,reef-associated,1,1,1,2.67,fusiform ,1.16
Actinopterygii,Perciformes,Labridae,Halichoeres nicholsi,reef-associated,demersal,reef-associated,UN,1,1,4,fusiform ,0
Actinopterygii,Perciformes,Mugilidae,Mugil cephalus,coastal epipelagic,epipelagic,coastal,UN,0,1,2.48,fusiform ,0
Actinopterygii,Perciformes,Nomeidae,Cubiceps gracilis,oceanic epipelagic,epipelagic,oceanic,UN,0,0,3.4,fusiform ,10
Actinopterygii,Perciformes,Nomeidae,Psenes pellucidus,oceanic epipelagic,epipelagic,oceanic,UN,1,1,3.85,compressiform,3
Actinopterygii,Perciformes,Percoidei,Mullus barbatus barbatus,continental demersal,demersal,continental shelf,UN,0,1,3.14,fusiform ,1.85
Actinopterygii,Perciformes,Scombridae,Katsuwonus pelamis,oceanic epipelagic,epipelagic,oceanic,0,0,1,4.43,fusiform ,0.6
Actinopterygii,Perciformes,Scombridae,Scomber japonicus,coastal epipelagic,epipelagic,coastal,1,0,1,3.38,fusiform ,3
Actinopterygii,Perciformes,Scombridae,Scomber scombrus,coastal epipelagic,epipelagic,coastal,1,0,1,3.63,fusiform ,1.1
Actinopterygii,Perciformes,Sparidae,Boops boops,continental demersal,demersal,continental shelf,1,1,1,2.79,fusiform ,11.11
Actinopterygii,Perciformes,Sparidae,Diplodus sargus,reef-associated,demersal,reef-associated,0,1,1,3.38,fusiform ,2.86
Actinopterygii,Perciformes,Sparidae,Spondyliosoma cantharus,benthopelagic,benthopelagic,coastal,0,1,1,3.34,fusiform ,1.85
Actinopterygii,Perciformes,Stomateidae,Peprilus simillimus,benthopelagic,benthopelagic,coastal,UN,0,1,4,compressiform,0.5
Actinopterygii,Perciformes,Tetragonuridae,Tetragonurus atlanticus,mesopelagic,mesopelagic,oceanic,1,0,1,3.64,elongated,14.29
Actinopterygii,Perciformes,Tetragonuridae,Tetragonurus cuvieri,oceanic epipelagic,epipelagic,oceanic,1,0,1,3.78,elongated,0.6
Actinopterygii,Pleuronectiformes,Bothidae,Arnoglossus imperialis,continental demersal,demersal,continental shelf,0,1,0,3.84,fusiform ,24.07
Actinopterygii,Pleuronectiformes,Paralichthyidae,Citharichthys sordidus,continental demersal,demersal,continental shelf,1,1,0,3.46,fusiform ,0
Actinopterygii,Pleuronectiformes,Pleuronectidae,Pleuronichthys decurrens,continental demersal,demersal,continental shelf,0,1,0,3.85,depressiform,1
Actinopterygii,Pleuronectiformes,Pleutonectidae,Microstomus pacificus,continental demersal,demersal,continental shelf,1,1,0,3.22,depressiform,0
Actinopterygii,Pleutonectiformes,Pleuronectidae,Glyptocephalus zachirus,continental demersal,demersal,continental shelf,0,1,0,3.25,depressiform,0
Actinopterygii,Scorpaeniformes,Agonidae,Bathyagonus pentacanthus,continental demersal,demersal,continental shelf,UN,1,1,3.2,elongated,0
Actinopterygii,Scorpaeniformes,Anoplopomatidae,Anoplopoma fimbria,deep-sea demersal,demersal,continental shelf,1,1,1,3.84,fusiform ,0
Actinopterygii,Scorpaeniformes,Gonatidae,Helicolenus dactylopterus,continental demersal,demersal,continental shelf,UN,0,1,3.54,fusiform ,16
Actinopterygii,Scorpaeniformes,Peristediidae,Peristedion gracile,continental demersal,demersal,continental shelf,UN,0,1,3.4,fusiform ,3
Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes aleutianus,continental demersal,demersal,continental shelf,1,1,1,3.52,fusiform ,0
Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes brevispinis,continental demersal,demersal,continental shelf,1,1,1,3.8,fusiform ,1
Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes diploproa,continental demersal,demersal,continental shelf,1,1,1,3.7,fusiform ,1
