PreySP,max_fo,ave_fo,class,family
Pterygioteuthis microlampas,0.33,0.33,Cephalopoda,Pyroteuthidae
Pyroteuthis margaritifera,1.63,1.63,Cephalopoda,Pyroteuthidae
Rhinogobiops nicholsii,0,0,Actinopterygii,Gobiidae
Robustosergia robusta,2.86,2.86,Malacostraca,Sergestidae
Sardina pilchardus,3.4,1.13,Actinopterygii,Clupeidae
Sardinella aurita,0,0,Actinopterygii,Clupeidae
Sardinops sagax,29.07,19.02,Actinopterygii,Clupeidae
Scaeurgus unicirrhus,5,3.32,Cephalopoda,Octopodidae
Scomber japonicus,3,2.33,Actinopterygii,Scombridae
Scomber scombrus,1.1,0.53,Actinopterygii,Scombridae
Scomberesox saurus,64.81,22.66,Actinopterygii,Scomberesocidae
Scopelogadus mizolepis bispinosus,2.7,1.7,Actinopterygii,Melamphaidae
Scyllarus arctus,20.7,7.24,Malacostraca,Scyllaridae
Sebastes aleutianus,0,0,Actinopterygii,Sebastidae
Sebastes brevispinis,1,1,Actinopterygii,Sebastidae
Sebastes diploproa,1,1,Actinopterygii,Sebastidae
Sebastes helvomaculatus,0,0,Actinopterygii,Sebastidae
Sebastes maliger,0,0,Actinopterygii,Sebastidae
Sebastes miniatus,0,0,Actinopterygii,Sebastidae
Sebastes proriger,1,1,Actinopterygii,Sebastidae
Sebastes wilsoni,1,1,Actinopterygii,Sebastidae
Sebastes zacentrus,0,0,Actinopterygii,Sebastidae
Selene setapinnis,3,3,Actinopterygii,Carangidae
Sepietta oweniana,2.86,2.86,Cephalopoda,Sepiolidae
Spondyliosoma cantharus,1.85,1.85,Actinopterygii,Sparidae
Stenobrachius leucopsarus,7.6,3.23,Actinopterygii,Myctophidae
Sternoptyx diaphana,44.44,21.17,Actinopterygii,Sternoptychidae
Sternoptyx obscura,1,1,Actinopterygii,Sternoptychidae
Sthenoteuthis oualaniensis,9.1,5.125,Cephalopoda,Ommastrephidae
Streetsia challengeri,40,24.8324515,Malacostraca,Oxyccephalidae
Strongylura exilis,1,1,Actinopterygii,Belonidae
Stylocheiron abbreviatum,16.67,8.79,Malacostraca,Euphausiidae
Sudis hyalina,0,0,Actinopterygii,Paralepididae
Syngnathus californiensis,1,1,Actinopterygii,Syngnathidae
Systellaspis debilis,8,8,Malacostraca,Oplophpridae
Taractes asper,0,0,Actinopterygii,Bramidae
Tarletonbeania crenularis,100,20.84,Actinopterygii,Myctophidae
