OceanBasinQ,StudyID,YearSample,YearEnd, LocatLatitude,LocatLongitude,PreyClass,PreyOrder,PreyFamily,PreySP,vert_habitat,horz_habitat,diel_migrant,refuge,phys_defense,body_shape,MAX of pFOuse
NE Atlantic,Bouxin&Legendre,1930,1930,61.010401,-11.680527,Actinopterygii,Stomiiformes,Sternoptychidae,Argyropelecus olfersii,mesopelagic,oceanic,1,0,1,compressiform,33.33
NE Atlantic,Bouxin&Legendre,1930,1930,61.010401,-11.680527,Actinopterygii,Stomiiformes,Sternoptychidae,Maurolicus muelleri,mesopelagic,continental shelf,1,0,0,elongated,55.56
NE Atlantic,Bouxin&Legendre,1930,1930,61.010401,-11.680527,Actinopterygii,Stomiiformes,Sternoptychidae,Sternoptyx diaphana,mesopelagic,oceanic,0,0,0,compressiform,44.44
NE Atlantic,Bouxin&Legendre,1930,1930,61.010401,-11.680527,Cephalopoda,Decapodiformes,Chtenopterygidae,Chtenopteryx sicula,mesopelagic,oceanic,1,0,0,fusiform ,11.11
NE Atlantic,Bouxin&Legendre,1930,1930,61.010401,-11.680527,Cephalopoda,Oegopsida,Chiroteuthidae,Chiroteuthis veranii,mesopelagic,oceanic,1,1,0,fusiform ,11.11
NE Atlantic,Bouxin&Legendre,1930,1930,61.010401,-11.680527,Cephalopoda,Oegopsida,Histioteuthidae,Histioteuthis reversa,mesopelagic,oceanic,1,0,0,fusiform ,22.22
NE Atlantic,Bouxin&Legendre,1930,1930,61.010401,-11.680527,Cephalopoda,Oegopsida,Ommastrephidae,Todarodes sagittatus,benthopelagic,continental shelf,1,0,0,fusiform ,44.44
NE Atlantic,Bouxin&Legendre,1930,1930,61.010401,-11.680527,Cephalopoda,Oegopsida,Onychoteuthidae,Onychoteuthis banksii,epipelagic,oceanic,1,0,0,fusiform ,55.56
NE Atlantic,Bouxin&Legendre,1930,1930,61.010401,-11.680527,Cephalopoda,Sepiida,Sepiolidae,Heteroteuthis dispar,mesopelagic,continental slope,1,0,0,globiform,11.11
NE Atlantic,Bouxin&Legendre,1931,1931,61.010401,-11.680527,Actinopterygii,Aulopiformes,Anotopteridae,Anotopterus pharao,mesopelagic,oceanic,UN,0,0,elongated,11.11
NE Atlantic,Bouxin&Legendre,1931,1931,61.010401,-11.680527,Actinopterygii,Aulopiformes,Paralepididae,Paralepis coregonoides,mesopelagic,oceanic,0,0,0,elongated,32.00
NE Atlantic,Bouxin&Legendre,1931,1931,61.010401,-11.680527,Actinopterygii,Beloniformes,Scomberesocidae,Scomberesox saurus,epipelagic,oceanic,1,0,0,elongated,40.00
NE Atlantic,Bouxin&Legendre,1931,1931,61.010401,-11.680527,Actinopterygii,Clupeiformes,Engraulidae,Engraulis encrasicolus,epipelagic,coastal,1,0,0,elongated,4.00
NE Atlantic,Bouxin&Legendre,1931,1931,61.010401,-11.680527,Actinopterygii,Gadiformes,Lotidae,Gaidropsarus vulgaris,demersal,continental shelf,0,1,0,elongated,8.00
NE Atlantic,Bouxin&Legendre,1931,1931,61.010401,-11.680527,Actinopterygii,Myctophiformes,Myctophidae,Ceratoscopelus maderensis,mesopelagic,oceanic,1,0,0,elongated,8.00
NE Atlantic,Bouxin&Legendre,1931,1931,61.010401,-11.680527,Actinopterygii,Myctophiformes,Myctophidae,Lampanyctus crocodilus,bathypelagic,oceanic,1,0,0,elongated,16.00
NE Atlantic,Bouxin&Legendre,1931,1931,61.010401,-11.680527,Actinopterygii,Myctophiformes,Myctophidae,Lampanyctus intricarius,mesopelagic,oceanic,1,0,0,elongated,8.00
NE Atlantic,Bouxin&Legendre,1931,1931,61.010401,-11.680527,Actinopterygii,Myctophiformes,Myctophidae,Lobianchia gemellarii,mesopelagic,oceanic,1,0,0,elongated,4.00
NE Atlantic,Bouxin&Legendre,1931,1931,61.010401,-11.680527,Actinopterygii,Myctophiformes,Myctophidae,Myctophum punctatum,mesopelagic,oceanic,1,0,0,elongated,16.00
NE Atlantic,Bouxin&Legendre,1931,1931,61.010401,-11.680527,Actinopterygii,Myctophiformes,Myctophidae,Notoscopelus kroyeri,mesopelagic,oceanic,1,0,0,elongated,4.00
NE Atlantic,Bouxin&Legendre,1931,1931,61.010401,-11.680527,Actinopterygii,Perciformes,Carangidae,Trachurus trachurus,epipelagic,coastal,1,0,1,fusiform ,20.00
NE Atlantic,Bouxin&Legendre,1931,1931,61.010401,-11.680527,Actinopterygii,Perciformes,Tetragonuridae,Tetragonurus atlanticus,mesopelagic,oceanic,1,0,1,elongated,8.00
