OceanBasinQ,PreySP,,,
NE Pacific,Trachurus symmetricus,,1,
NE Pacific,Triphoturus mexicanus,,1,
NE Pacific,Vampyroteuthis infernalis,,1,
NE Pacific,Vinciguerria lucetia,,1,123
NE Pacific Total,,,,
NW Atlantic,Antigonia capros,,,
NW Atlantic,Brama orcini,,,
NW Atlantic,Diplospinus multistriatus,,,
NW Atlantic,Nealotus tripes,,,
NW Atlantic,Nesiarchus nasutus,,,
NW Atlantic,Omosudis lowii,,,
NW Atlantic,Peristedion gracile,,,
NW Atlantic,Phrosina semilunata,,,
NW Atlantic,Psenes pellucidus,,,
NW Atlantic,Scomber japonicus,,,
NW Atlantic,Selene setapinnis,,,
NW Atlantic,Sternoptyx diaphana,,,
NW Atlantic Total,,,,
SW Atlantic,Abralia redfieldi,,,
SW Atlantic,Argonauta nodosus,,,
SW Atlantic,Chiroteuthis veranii,,,
SW Atlantic,Haliphron atlanticus,,,
SW Atlantic,Heteroteuthis dispar,,,
SW Atlantic,Illex argentinus,,,
SW Atlantic,Lycoteuthis lorigera,,,
SW Atlantic,Octopus vulgaris,,,
SW Atlantic,Ocythoe tuberculata,,,
SW Atlantic,Ommastrephes bartramii,,,
SW Atlantic,Ornithoteuthis antillarum,,,
SW Atlantic,Tremoctopus violaceus,,,
SW Atlantic Total,,,,
SW Pacific,Argonauta nodosus,,,
SW Pacific,Brachyscelus crusculum,,,
SW Pacific,Hyaloteuthis pelagica,,,
SW Pacific,Japetella heathi,,,
SW Pacific,Macroramphosus scolopax,,,
SW Pacific,Nyctiphanes australis,,,
SW Pacific,Ommastrephes bartramii,,,
SW Pacific,Omosudis lowii,,,
SW Pacific,Ornithoteuthis volatilis,,,
SW Pacific,Phrosina semilunata,,,
SW Pacific,Pterycombus petersii,,,
SW Pacific,Sthenoteuthis oualaniensis,,,
SW Pacific,Todaropsis eblanae,,,
SW Pacific Total,,,,
